"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","AAA - Testes Programáticos","0","Images","1","0","Raça inválida","0"
"0","","0","BDD - Images","1","0","Deve retornar erro ao buscar imagens de uma raça inválida","0"
"0","","0","BDD - Breeds","1","0","Deve listar todas as raças de cachorro com sucesso","0"
"0","","0","BDD - Images","1","0","Deve retornar uma imagem aleatória de cachorro com sucesso","0"
"0","AAA - Testes Programáticos","0","Images","1","0","Listar imagens por raça","0"
"0","AAA - Testes Programáticos","0","Images","1","0","Imagem aleatória","0"
"0","","0","BDD - Images","2","0","Deve listar imagens de uma raça específica com sucesso","0"
"0","AAA - Testes Programáticos","0","Breeds","1","0","Listar todas as raças","0"
"0","","0","BDD - Breeds","1","0","Deve retornar erro ao acessar endpoint de raças inválido","0"
