"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 23 17:01:54 UTC 2026","Mon Mar 23 17:01:54 UTC 2026","231","","BDD - Images","","Deve retornar erro ao buscar imagens de uma raça inválida","","Deve retornar erro ao buscar imagens de uma raça inválida",""
"passed","Mon Mar 23 17:01:54 UTC 2026","Mon Mar 23 17:01:54 UTC 2026","300","","BDD - Images","","Deve listar imagens de uma raça específica com sucesso","","Deve listar imagens de uma raça específica com sucesso",""
"passed","Mon Mar 23 17:01:54 UTC 2026","Mon Mar 23 17:01:55 UTC 2026","249","","BDD - Images","","Deve retornar uma imagem aleatória de cachorro com sucesso","","Deve retornar uma imagem aleatória de cachorro com sucesso",""
"passed","Mon Mar 23 17:01:54 UTC 2026","Mon Mar 23 17:01:54 UTC 2026","266","","BDD - Images","","Deve listar imagens de uma raça específica com sucesso","","Deve listar imagens de uma raça específica com sucesso",""
"passed","Mon Mar 23 17:01:55 UTC 2026","Mon Mar 23 17:01:56 UTC 2026","269","","Testes de raças de cães","","com.jeff.dogapi.tests.BreedsTest","shouldListAllBreedsSuccessfully","Deve listar todas as raças de cachorro com sucesso",""
"passed","Mon Mar 23 17:01:55 UTC 2026","Mon Mar 23 17:01:55 UTC 2026","251","","Testes de imagens de cães","","com.jeff.dogapi.tests.ImagesTest","shouldReturnRandomImageSuccessfully","Deve listar imagem aleatória da raça do cachorro",""
"passed","Mon Mar 23 17:01:55 UTC 2026","Mon Mar 23 17:01:55 UTC 2026","207","","Testes de imagens de cães","","com.jeff.dogapi.tests.ImagesTest","shouldReturnErrorForInvalidBreed","Deve retornar erro ao tentar listar uma raça inválida",""
"passed","Mon Mar 23 17:01:51 UTC 2026","Mon Mar 23 17:01:53 UTC 2026","2886","","BDD - Breeds","","Deve listar todas as raças de cachorro com sucesso","","Deve listar todas as raças de cachorro com sucesso",""
"passed","Mon Mar 23 17:01:55 UTC 2026","Mon Mar 23 17:01:55 UTC 2026","231","","Testes de imagens de cães","","com.jeff.dogapi.tests.ImagesTest","shouldListImagesByBreedSuccessfully","Deve listar imagens de acordo com a raça do cachorro",""
